Date,Windows,Android,iOS,Samsung,Chrome OS,Unknown,Linux,OS X,Series 40,SymbianOS,BlackBerry OS,Nokia Unknown,Playstation,Sony Ericsson,KaiOS,Xbox,bada,Tizen,LG,Nintendo,Other
1/1/2009,94.8,0,0.24,0,0,0.27,0.64,3.66,0,0.26,0.01,0,0.1,0,0,0,0,0,0,0.01,0.01
2/1/2009,94.74,0.01,0.25,0,0,0.22,0.61,3.73,0,0.26,0.04,0,0.1,0,0,0,0,0,0,0.01,0.02
3/1/2009,94.48,0.02,0.32,0,0,0.25,0.64,3.84,0,0.28,0.05,0,0.11,0,0,0,0,0,0,0.01,0.01
4/1/2009,94.32,0.02,0.36,0,0,0.26,0.66,3.89,0,0.3,0.06,0,0.12,0,0,0,0,0,0,0.01,0.01
5/1/2009,94.44,0.02,0.32,0,0,0.32,0.64,3.72,0,0.34,0.06,0,0.12,0,0,0,0,0,0,0.01,0.01
6/1/2009,93.89,0,0.34,0,0,0.38,0.74,4.04,0,0.38,0.07,0,0.14,0,0,0,0,0,0,0.01,0.02
7/1/2009,93.85,0.02,0.36,0,0,0.37,0.76,4.07,0,0.25,0.09,0,0.16,0.02,0,0,0,0,0,0.02,0.02
8/1/2009,93.66,0.03,0.38,0.02,0,0.17,0.68,4.3,0,0.38,0.1,0,0.17,0.08,0,0,0,0,0,0.02,0.02
9/1/2009,93.58,0.03,0.35,0.02,0,0.17,0.69,4.39,0,0.4,0.1,0,0.14,0.08,0,0,0,0,0,0.02,0.02
10/1/2009,93.29,0.03,0.35,0.02,0,0.17,0.68,4.66,0,0.44,0.1,0,0.15,0.08,0,0,0,0,0,0.02,0.02
11/1/2009,92.87,0.04,0.38,0.02,0,0.24,0.71,4.9,0,0.44,0.12,0,0.16,0.08,0,0,0,0,0,0.02,0.02
12/1/2009,93,0.05,0.41,0.02,0,0.3,0.68,4.66,0,0.45,0.12,0,0.17,0.09,0,0,0,0,0,0.02,0.02
1/1/2010,92.31,0.07,0.52,0.03,0,0.29,0.69,5.08,0,0.53,0.16,0,0.17,0.11,0,0,0,0,0,0.02,0.02
2/1/2010,91.78,0.09,0.58,0.03,0,0.2,0.73,5.53,0,0.56,0.19,0,0.15,0.11,0,0,0,0,0,0.02,0.02
3/1/2010,91.36,0.12,0.59,0.03,0,0.21,0.77,5.67,0,0.68,0.25,0,0.15,0.12,0,0,0,0,0,0.02,0.02
4/1/2010,90.95,0.12,0.64,0.04,0,0.3,0.78,5.79,0,0.73,0.31,0,0.16,0.13,0,0,0,0,0,0.02,0.02
5/1/2010,90.89,0.09,0.7,0.07,0,0.39,0.79,5.63,0,0.77,0.33,0,0.17,0.14,0,0,0,0,0,0.02,0.02
6/1/2010,90.88,0.1,0.79,0.09,0,0.33,0.78,5.42,0,0.86,0.39,0,0.17,0.15,0,0,0,0,0,0.03,0.02
7/1/2010,90.63,0.23,0.88,0.08,0,0.27,0.75,5.38,0,0.92,0.47,0,0.18,0.16,0,0,0,0,0,0.03,0.03
8/1/2010,90.13,0.3,1,0.09,0,0.28,0.77,5.48,0,1.01,0.54,0,0.17,0.17,0,0,0,0,0.01,0.03,0.03
9/1/2010,89.64,0.34,1,0.1,0,0.31,0.76,5.69,0,1.14,0.63,0,0.15,0.2,0,0,0,0,0,0.02,0.02
10/1/2010,89.2,0.41,1.08,0.11,0,0.3,0.74,5.82,0,1.25,0.69,0,0.15,0.21,0,0,0,0,0,0.02,0.02
11/1/2010,88.81,0.47,1.13,0.14,0,0.28,0.75,5.97,0,1.29,0.77,0,0.14,0.2,0,0,0,0,0,0.02,0.03
12/1/2010,88.65,0.56,1.28,0.17,0,0.28,0.72,6,0,1.22,0.74,0,0.16,0.18,0,0,0,0,0,0.02,0.03
1/1/2011,88.08,0.63,1.49,0.19,0,0.29,0.71,6.28,0,1.3,0.65,0,0.16,0.17,0,0,0,0,0.01,0.02,0.03
2/1/2011,87.91,0.69,1.51,0.2,0,0.3,0.72,6.3,0,1.36,0.65,0,0.14,0.17,0,0,0,0,0.01,0.02,0.02
3/1/2011,87.71,0.76,1.58,0.22,0,0.31,0.73,6.22,0,1.44,0.66,0,0.14,0.18,0,0,0,0,0.01,0.02,0.02
